John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Stijn Ruiter,"Utrecht University, Department of Sociology, Utrecht, the Netherlands"
Rense Corten,"Utrecht University, Department of Sociology, Utrecht, the Netherlands"
Dali Ma,"Drexel University, United States"
V. K. Narayanan,"Drexel University, United States"
ChuanRen Liu,"University of Tennessee, Knoxville, United States"
Ehsan Fakharizadi,"Indeed, United States"
Ion Georgiou,"Fundação Getulio Vargas (FGV), Escola de Administração de Empresas de São Paulo (EAESP), Departamento de Tecnologia e Ciência de Dados (Technology & Data Science – TDS), Rua Itapeva 474 – 9 Andar, Sala 901, Bairro Bela Vista, São Paulo, 01332-000, SP, Brazil"
Ronald Concer,"Fundação Getulio Vargas (FGV), Escola de Administração de Empresas de São Paulo (EAESP), Departamento de Tecnologia e Ciência de Dados (Technology & Data Science – TDS), Rua Itapeva 474 – 9 Andar, Sala 901, Bairro Bela Vista, São Paulo, 01332-000, SP, Brazil"
Lindsay E. Young,"Chicago Center for HIV Elimination, University of Chicago, Chicago, IL, United States"
Arthi Ramachandran,"Chicago Center for HIV Elimination, University of Chicago, Chicago, IL, United States"
Phillip Schumm,"Department of Public Health Sciences, University of Chicago, Chicago, IL, United States"
Aditya S. Khanna,"Chicago Center for HIV Elimination, University of Chicago, Chicago, IL, United States"
John A. Schneider,"Chicago Center for HIV Elimination, University of Chicago, Chicago, IL, United States"
Mathijs de Vaan,"Haas School of Business, UC Berkeley, University of California - Berkeley, Berkeley, CA, USA"
Sean M. Fitzhugh,"Department of Sociology, University of California - Irvine, 3151 Social Science Plaza, Irvine, CA 92697, USA"
Carter T. Butts,"Department of Sociology, University of California - Irvine, 3151 Social Science Plaza, Irvine, CA 92697, USA"
David R. Schaefer,"University of California - Irvine, United States"
Kimberly M. Davidson,"Pennsylvania State University, United States"
Dana L. Haynie,"Ohio State University, United States"
Martin Bouchard 0002,"Simon Fraser University, Canada"
Michele Tumminello,"Dipartimento di Scienze Economiche, Aziendali e Statistiche, Università degli Studi di Palermo, University of Palermo, Viale delle Scienze, Ed. 13, 90128 Palermo, Italy"
F. Petruzzella,"Procura della Repubblica presso il Tribunale di Palermo – Direzione Distrettuale Antimafia, Piazza V.E. Orlando, 1, 90138 Palermo, Italy"
C. Ferrara,"Procura della Repubblica presso il Tribunale di Palermo – Direzione Distrettuale Antimafia, Piazza V.E. Orlando, 1, 90138 Palermo, Italy"
Salvatore Miccichè,"Dipartimento di Fisica e Chimica Emilio Segré, Università degli Studi di Palermo, University of Palermo, Viale delle Scienze, Ed. 18, 90128 Palermo, Italy"
Kaustav Basu,"NetXT Lab, School of Computing, Informatics and Decision Systems Engineering, Arizona State University, 699, South Mill Ave., Tempe, AZ, USA"
Arunabha Sen,"NetXT Lab, School of Computing, Informatics and Decision Systems Engineering, Arizona State University, 699, South Mill Ave., Tempe, AZ, USA"
Jennifer M. Badham,"Centre for Public Health, Queen's University Belfast, Institute of Clinical Sciences, Block A, Royal Victoria Hospital, Belfast BT12 6BA, United Kingdom"
Frank Kee,"Centre for Public Health, Queen's University Belfast, Institute of Clinical Sciences, Block A, Royal Victoria Hospital, Belfast BT12 6BA, United Kingdom"
Ruth F. Hunter,"Centre for Public Health, Queen's University Belfast, Institute of Clinical Sciences, Block A, Royal Victoria Hospital, Belfast BT12 6BA, United Kingdom"
Gert Stulp,"Department of Sociology & Inter-University Center for Social Science Theory and Methodology, Grote Rozenstraat 31, 9712 TS Groningen, The Netherlands"
Andrea Mendoza-Silva,"EGADE Business School, Tecnologico de Monterrey, Av. Eugenio Garza Lagüera y Rufino Tamayo, n/n, Valle Oriente, 66269, San Pedro Garza García, N.L, Mexico"
Joshua E. Marineau,"Department of Management and Marketing, North Dakota State University, Fargo, ND, United States"
Giuseppe (Joe) Labianca,"Department of Management, University of Kentucky, Lexington, KY, United States"
Adam R. Roth,"Department of Sociology, Indiana University, United States"
Siyun Peng,"Department of Sociology, Indiana University, United States"
Max E. Coleman,"Department of Sociology, Indiana University, United States"
Evan Finley,"Indianapolis Alzheimer Disease Center, Indiana University, United States"
Brea L. Perry,"Department of Sociology, Indiana University, United States"
Antonio D. Sirianni,"Dartmouth College, United States"
Christopher J. Cameron,"Cornell University, United States"
Yongren Shi,"University of Iowa, United States"
Douglas D. Heckathorn,"Cornell University, United States"
Mathijs Kros,"Department of Sociology, Utrecht University, The Netherlands"
Eva Jaspers,"Department of Sociology, Utrecht University, The Netherlands"
Maarten van Zalk,"Institute for Psychology, University Osnabrück, Germany"
Marc A. C. Sarazin,"Department of Education, University of Oxford, 15 Norham Gardens, Oxford OX2 6PY, UK"
Patrick Doreian,"University of Ljubljana, Slovenia"
Andrej Mrvar,"University of Ljubljana, Slovenia"
Yee Heng Tan,"Institute of International Strategy, Tokyo International University, 1-13-1 Matoba-kita, Kawagoe, Saitama, 350-1197, Japan"
Srinivas K. Reddy,"Lee Kong Chian School of Business, Singapore Management University, 50 Stamford Road, 178899, Singapore"
Isidro Maya Jariego,"Social Psychology Department, Universidad de Sevilla, Sevilla University, Sevilla University, Calle Camilo José Cela s/n, 41018, Sevilla, Spain"
Hossein Akbari,"Department of Social Sciences, Ferdowsi University of Mashhad, Mashhad, Iran"
Hui-Ju Kuo,"National Taiwan University, Department of Bio-Industry Communication and Development, Taipei 106, Taiwan"
Yang-chih Fu,"Academia Sinica, Institute of Sociology, Taipei 115, Taiwan"
Ryan W. Quinn,"College of Business, University of Louisville, United States"
Wayne E. Baker,"Stephen M. Ross School of Business, University of Michigan, United States"
George G. Vega Yon,"Department of Preventive Medicine, University of Southern California, USA"
Andrew Slaughter,"US Army Research Institute for the Behavioral and Social Sciences, USA"
Kayla de la Haye,"Department of Preventive Medicine, University of Southern California, USA"
